time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2025-09-22T07:39:35.078Z,0.263527842,0.190972895,-9.72784969,0.0088346739,-0.0115525221,0.0323891208
2025-09-22T07:39:35.083Z,0.264584727,0.189639045,-9.72924133,0.0084674285,-0.0115865904,0.0321171025
2025-09-22T07:39:35.088Z,0.265217871,0.195078235,-9.72510881,0.00829576076,-0.0120915223,0.0326378416
2025-09-22T07:39:35.093Z,0.264400996,0.193241866,-9.7099901,0.00899904405,-0.0125925057,0.0333089952
2025-09-22T07:39:35.098Z,0.259431365,0.185168563,-9.69891474,0.0092750095,-0.0126064742,0.0333760354
2025-09-22T07:39:35.103Z,0.253951085,0.186932035,-9.69964638,0.00970504609,-0.0129810643,0.0334778849
2025-09-22T07:39:35.108Z,0.256043658,0.183578497,-9.70271836,0.0101766998,-0.0123510354,0.034011135
2025-09-22T07:39:35.113Z,0.260100506,0.183677592,-9.70201304,0.00916610653,-0.0124795157,0.0337706625
2025-09-22T07:39:35.118Z,0.260790866,0.186093325,-9.70271032,0.00913870913,-0.0115448112,0.0340189151
2025-09-22T07:39:35.123Z,0.261518159,0.188628505,-9.70161762,0.00946934377,-0.0113014116,0.0348176339
2025-09-22T07:39:35.128Z,0.262800641,0.188163605,-9.69139449,0.00988227625,-0.0115936475,0.0353166258
2025-09-22T07:39:35.133Z,0.262526027,0.186181057,-9.67936385,0.0103613418,-0.0122316014,0.0357043036
2025-09-22T07:39:35.138Z,0.262610675,0.193594549,-9.68121376,0.0104315591,-0.0121787895,0.035817228
2025-09-22T07:39:35.143Z,0.263458178,0.203348664,-9.68126858,0.0099167771,-0.0127469986,0.0351674647
2025-09-22T07:39:35.148Z,0.259752117,0.201511086,-9.66934757,0.010267271,-0.0125690954,0.0358682084
2025-09-22T07:39:35.153Z,0.264230285,0.185003768,-9.67053601,0.010558938,-0.0119363077,0.0368154573
2025-09-22T07:39:35.158Z,0.265146174,0.178984596,-9.67626921,0.0108032862,-0.0120090375,0.0371631497
2025-09-22T07:39:35.163Z,0.261114267,0.183324657,-9.66705692,0.010922818,-0.0123771708,0.0374929321
2025-09-22T07:39:35.193Z,0.259773656,0.181889372,-9.64678974,0.0128070325,-0.012351101,0.0387361078
2025-09-22T07:39:35.198Z,0.249149996,0.193112383,-9.63734429,0.012542249,-0.0124750146,0.038194735
2025-09-22T07:39:35.203Z,0.241818752,0.200565435,-9.62383138,0.0122000313,-0.0126075477,0.0387295068
